순위,도서명,저자명,출판사,출판년도,ISBN13,주제분류명,대출건수
82,내가 되는 꿈 :최진영 장편소설 ,지은이: 최진영,H(현대문학),2021,9791190885621,문학 > 한국문학 > 소설,2678
83,노르웨이의 숲 =Norwegian wood ,지은이: 무라카미 하루키 ;옮긴이: 양억관,민음사,2017,9788937434488,문학 > 일본문학 > 소설,2666
84,절창 :구병모 장편소설 ,지은이: 구병모,문학동네,2025,9791141602451,문학 > 한국문학 > 소설,2662
85,내게 무해한 사람 :최은영 소설 ,지은이: 최은영,문학동네,2018,9788954651820,문학 > 한국문학 > 소설,2643
86,두고 온 여름 :성해나 소설 ,지은이: 성해나,창비,2023,9788936439002,문학 > 한국문학 > 소설,2618
86,만조를 기다리며 :우리 숨바꼭질 기억해? ,지은이: 조예은,위즈덤하우스,2023,9791168127128,문학 > 한국문학 > 소설,2618
88,나는 메트로폴리탄 미술관의 경비원입니다 :가장 경이로운 세계 속으로 숨어버린 한 남자의 이야기 ,패트릭 브링리 지음 ;조현주 옮김,웅진씽크빅,2023,9788901276533,문학 > 영미문학 > 르포르타주 및 기타,2600
89,자기 앞의 生 :에밀 아자르 장편소설 ,지은이: 에밀 아자르 ;옮긴이: 용경식,문학동네,2015,9788982816635,문학 > 프랑스문학 > 소설,2576
90,여름은 고작 계절 :김서해 장편소설 ,지은이: 김서해,위즈덤하우스,2025,9791171713929,문학 > 한국문학 > 소설,2555
91,저주토끼 (리커버),정보라 (지은이),아작,2022,9791166686665,,2551
92,치치새가 사는 숲 :장진영 장편소설 ,지은이: 장진영,민음사,2023,9788937473852,문학 > 한국문학 > 소설,2540
93,불안 ,지은이: 알랭 드 보통 ;정영목 옮김,은행나무,2012,9788956605593,"사회과학 > 사회학, 사회문제 > 사회조직 및 제도",2532
94,부자 아빠 가난한 아빠 :20주년 특별 기념판 ,지은이: 로버트 기요사키 ;옮긴이: 안진환,민음인,2018,9791158883591,사회과학 > 경제학 > 금융,2521
95,날씨가 좋으면 찾아가겠어요 :이도우 장편소설 ,지은이: 이도우,시공사,2018,9788952791160,문학 > 한국문학 > 소설,2495
96,아몬드 :손원평 장편소설 ,지은이: 손원평,창비,2017,9788936434267,문학 > 한국문학 > 소설,2484
97,눈부신 안부 :백수린 장편소설 ,지은이: 백수린,문학동네,2023,9788954699372,문학 > 한국문학 > 소설,2471
98,불편한 편의점 :김호연 장편소설,지은이: 김호연,나무옆의자,2022,9791161571379,문학 > 한국문학 > 소설,2451
99,인간 실격,다자이 오사무 지음;김춘미 옮김,민음사,2004,9788937461033,문학 > 일본문학 > 소설,2420
100,GV 빌런 고태경 :2020 한경신춘문예 당선작 ,지은이: 정대건,은행나무,2020,9791190492430,문학 > 한국문학 > 소설,2411
101,"첫 여름, 완주 :김금희 장편소설 ",저자 : 김금희,무제,2025,9791197221989,문학 > 한국문학 > 소설,2386
102,영원한 천국 :정유정 장편소설 ,지은이: 정유정,은행나무,2024,9791167374561,문학 > 한국문학 > 소설,2372
103,고래:천명관 장편소설,천명관 지음,문학동네,2004,9788982819278,문학 > 한국문학 > 소설,2360
104,달러구트 꿈 백화점 :이미예 장편소설 ,지은이: 이미예,팩토리나인,2021,9791165343729,문학 > 한국문학 > 소설,2338
105,비행운 :김애란 소설집 ,지은이: 김애란,문학과지성사,2012,9788932023151,문학 > 한국문학 > 소설,2330
106,유령의 마음으로 :임선우 소설집 ,지은이: 임선우,민음사,2022,9788937442698,문학 > 한국문학 > 소설,2321
107,타이탄의 도구들 :1만 시간의 법칙을 깬 거인들의 61가지 전략 ,팀 페리스 지음 ;정지현 옮김,Tornado(토네이도),2017,9791158510619,사회과학 > 경제학 > 경영관리,2316
107,마흔에 읽는 쇼펜하우어 :마음의 위기를 다스리는 철학 수업 ,강용수 지음,유노콘텐츠그룹,2023,9791192300818,"철학 > 서양철학 > 독일, 오스트리아철학",2316
109,당신이 누군가를 죽였다 ,지은이: 히가시노 게이고 ;옮긴이: 최고은,교보문고,2024,9791170611561,문학 > 일본문학 > 소설,2284
110,당신은 결국 무엇이든 해내는 사람 :김상현 에세이 ,지은이: 김상현,필름(필름출판사),2022,9791188469994,문학 > 한국문학 > 르포르타주 및 기타,2269
110,공룡의 이동 경로 :김화진 소설 ,지은이: 김화진,스위밍꿀,2023,9791196074470,문학 > 한국문학 > 소설,2269
112,피프티 피플 :정세랑 장편소설 ,지은이: 정세랑,창비,2016,9788936434243,문학 > 한국문학 > 소설,2264
113,연매장 :팡팡 장편소설 ,지은이: 팡팡 ;옮긴이: 문현선,문학동네,2025,9791141609962,문학 > 중국문학 > 소설,2262
114,너의 유토피아 :정보라 소설집 ,지은이: 정보라,인플루엔셜,2025,9791168342569,문학 > 한국문학 > 소설,2257
115,제철 행복 :김신지 에세이 ,지은이: 김신지,인플루엔셜,2024,9791168341890,문학 > 한국문학 > 르포르타주 및 기타,2251
116,재와 물거품 ,지은이: 김청귤,안전가옥,2021,9791191193114,문학 > 한국문학 > 소설,2247
117,아버지의 해방일지 :정지아 장편소설 ,지은이: 정지아,창비,2022,9788936438838,문학 > 한국문학 > 소설,2242
118,나는 왜 남들보다 쉽게 지칠까 :무던해 보이지만 누구보다 예민한 HSP를 위한 심리학 ,최재훈 지음,서스테인,2024,9791193388075,철학 > 심리학 > 차이심리학,2241
119,회색 인간 ,지은이: 김동식,요다,2017,9791196222628,문학 > 한국문학 > 소설,2230
120,"어서오세요, 휴남동 서점입니다 :황보름 장편소설 ",지은이: 황보름,클레이하우스,2022,9791197377143,문학 > 한국문학 > 소설,2224
121,살인자의 기억법 :김영하 장편소설 ,지은이: 김영하,문학동네,2013,9788954622035,문학 > 한국문학 > 소설,2219
122,밤에 찾아오는 구원자 :천선란 장편소설 ,지은이: 천선란,안전가옥,2021,9791191193138,문학 > 한국문학 > 소설,2200
123,이상한 집 ,우케쓰 지음 ;김은모 옮김,디앤씨미디어,2022,9791197708572,문학 > 일본문학 > 소설,2178
124,안녕이라 그랬어 :김애란 소설 ,지은이: 김애란,문학동네,2025,9791141602376,문학 > 한국문학 > 소설,2165
125,(The) money book :잘 살아갈 우리를 위한 금융생활 안내서 ,토스 엮음,비바리퍼블리카,2024,9791198686114,사회과학 > 경제학 > 금융,2155
126,율의 시선 :김민서 장편소설 ,지은이: 김민서,창비,2024,9788936457259,문학 > 한국문학 > 소설,2154
127,치즈 이야기 :조예은 소설 ,지은이: 조예은,문학동네,2025,9791141602567,문학 > 한국문학 > 소설,2143
128,미키7 :에드워드 애슈턴 SF 장편소설 ,지은이: 에드워드 애슈턴 ;옮긴이: 배지혜,황금가지,2022,9791170521730,문학 > 영미문학 > 소설,2137
129,도파민네이션 :쾌락 과잉 시대에서 균형 찾기 ,애나 렘키 지음 ;김두완 옮김,흐름출판,2022,9788965965046,철학 > 심리학 > 각론,2134
130,"오늘 밤, 세계에서 이 사랑이 사라진다 해도 ",이치조 미사키 지음 ;권영주 옮김,바이포엠,2021,9791191043297,문학 > 일본문학 > 소설,2107
131,버드 스트라이크 :구병모 장편소설 ,지은이: 구병모,창비,2019,9788936434359,문학 > 한국문학 > 소설,2096
131,공정하다는 착각 :능력주의는 모두에게 같은 기회를 제공하는가 ,마이클 샌델 지음 ;함규진 옮김,미래엔,2020,9791164136452,"사회과학 > 사회학, 사회문제 > 사회조직 및 제도",2096
133,데미안 ,지은이: 헤르만 헤세 ;옮긴이: 전영애,민음사,2000,9788937460449,문학 > 독일문학 > 소설,2070
134,악마의 계약서는 만기 되지 않는다 :리러하 장편소설 ,지은이: 리러하,팩토리나인,2022,9791165345839,문학 > 한국문학 > 소설,2020
135,행성어 서점 :김초엽 짧은 소설 ,지은이: 김초엽 ;그린이: 최인호,마음산책,2021,9788960907003,문학 > 한국문학 > 소설,2004
136,어른의 행복은 조용하다 ,글: 태수,페이지2북스,2024,9791169851053,문학 > 한국문학 > 르포르타주 및 기타,1999
137,메리골드 마음 세탁소 =윤정은 장편소설 /Marigold mind laundry ,글: 윤정은,북로망스,2023,9791191891287,문학 > 한국문학 > 소설,1993
138,가재가 노래하는 곳 :델리아 오언스 장편소설 ,지은이: 델리아 오언스 ;옮긴이: 김선형,살림출판사,2019,9788952240569,문학 > 영미문학 > 소설,1985
